infection_rate_mean,avg_infection_duration_mean,new_infections_mean,new_recoveries_mean,reward_agent_a,reward_agent_b
8.510638297872341e-05,0.0,0.00425531914893617,1.5808510638297872,6.299957446808511,10.670255319148938
0.0,0.0,0.0,1.4191419141914192,2.9307920792079205,10.303531353135314
0.0,0.0,0.0,1.3278145695364238,2.91317880794702,10.30205298013245
0.0,0.0,0.0,1.390625,2.7506875,9.774312499999999
0.0,0.0,0.0,1.3512658227848102,2.7019620253164556,9.927784810126582
0.0,0.0,0.0,1.336405529953917,2.724147465437788,9.595360983102918
0.0,0.0,0.0,1.3634945397815912,2.7196255850234015,9.754633385335412
0.0,0.0,0.0,1.3424878836833603,2.8020678513731827,10.115541195476576
0.0,0.0,0.0,1.3112903225806452,2.7883225806451617,10.098774193548387
0.0,0.0,0.0,1.2560386473429952,2.782061191626409,10.135813204508857
0.0,0.0,0.0,1.3105095541401275,2.753503184713376,9.947133757961783
0.0,0.0,0.0,1.3354037267080745,2.7172049689440994,9.733105590062113
0.0,0.0,0.0,1.31055900621118,2.7267701863354037,9.686273291925465
0.0,0.0,0.0,1.318840579710145,2.773913043478261,10.114975845410628
0.0,0.0,0.0,1.3365539452495974,2.8050885668276977,10.04193236714976
0.0,0.0,0.0,1.307563025210084,2.8977142857142857,10.557747899159665
0.0,0.0,0.0,1.311926605504587,2.6810397553516823,9.563608562691131
0.0,0.0,0.0,1.3807266982622433,2.809952606635071,9.837756714060031
0.0,0.0,0.0,1.3703148425787106,2.6235082458770616,9.373493253373313
0.0,0.0,0.0,1.39258114374034,2.74676970633694,9.624173106646058
0.0,0.0,0.0,1.3775351014040562,2.7536037441497663,9.733135725429017
0.0,0.0,0.0,1.343701399688958,2.7097978227060655,9.722550544323484
0.0,0.0,0.0,1.3131955484896662,2.7197456279809225,9.986136724960254
0.0,0.0,0.0,1.3107890499194848,2.774621578099839,10.104605475040257
0.0,0.0,0.0,1.334355828220859,2.730092024539877,9.549049079754601
0.0,0.0,0.0,1.294701986754967,2.845066225165563,10.396655629139072
0.0,0.0,0.0,1.339116719242902,2.759716088328076,9.85858044164038
0.0,0.0,0.0,1.3572567783094098,2.796140350877193,9.978979266347688
0.0,0.0,0.0,1.359497645211931,2.7632967032967035,9.770455259026686
0.0,0.0,0.0,1.386138613861386,2.9104620462046205,10.284257425742574
0.0,0.0,0.0,1.334453781512605,2.8418823529411767,10.590050420168067
0.0,0.0,0.0,1.2869565217391303,2.8982608695652172,11.049565217391304
0.0,0.0,0.0,1.3656957928802589,2.816569579288026,10.096051779935275
0.0,0.0,0.0,1.3408360128617363,2.8242765273311896,10.076045016077169
0.0,0.0,0.0,1.326984126984127,2.7713015873015876,9.914412698412699
0.0,0.0,0.0,1.3295819935691318,2.7464630225080384,10.095980707395498
0.0,0.0,0.0,1.3403225806451613,2.814225806451613,10.124483870967742
0.0,0.0,0.0,1.332797427652733,2.808006430868168,10.044083601286173
0.0,0.0,0.0,1.3528455284552845,2.8378211382113823,10.170308943089431
0.0,0.0,0.0,1.360128617363344,2.7814790996784566,10.048102893890675
0.0,0.0,0.0,1.3217115689381933,2.781204437400951,9.890744849445325
0.0,0.0,0.0,1.310077519379845,2.7259534883720935,9.680248062015504
0.0,0.0,0.0,1.292604501607717,2.779003215434084,10.024855305466236
0.0,0.0,0.0,1.3012820512820513,2.766923076923077,10.143333333333333
0.0,0.0,0.0,1.3492063492063493,2.743714285714286,9.948349206349206
0.0,0.0,0.0,1.3453355155482816,2.8434369885433717,10.253126022913257
0.0,0.0,0.0,1.3932584269662922,2.8003210272873194,10.053611556982343
0.0,0.0,0.0,1.2936507936507937,2.777587301587302,9.89542857142857
0.0,0.0,0.0,1.3931888544891642,2.78984520123839,9.625015479876161
0.0,0.0,0.0,1.3338582677165354,2.7238425196850393,9.849385826771654
0.0,0.0,0.0,1.3806451612903226,2.791516129032258,10.105258064516129
0.0,0.0,0.0,1.3865414710485133,2.696118935837246,9.826572769953053
0.0,0.0,0.0,1.3263665594855305,2.7563665594855307,10.105369774919614
0.0,0.0,0.0,1.3227344992050873,2.7089030206677265,10.028775834658187
0.0,0.0,0.0,1.3322422258592472,2.845957446808511,10.224418985270049
0.0,0.0,0.0,1.3286821705426357,2.674790697674419,9.762418604651163
0.0,0.0,0.0,1.3159609120521172,2.8342019543973946,10.182084690553745
0.0,0.0,0.0,1.2969004893964111,2.8488743882544862,10.185383360522023
0.0,0.0,0.0,1.2866141732283465,2.801448818897638,9.815874015748031
0.0,0.0,0.0,1.3187702265372168,2.8810032362459546,10.06398058252427
0.0,0.0,0.0,1.3173076923076923,2.8064102564102567,10.004487179487178
0.0,0.0,0.0,1.3312101910828025,2.7962420382165605,9.936242038216559
0.0,0.0,0.0,1.326984126984127,2.775492063492064,9.938793650793652
0.0,0.0,0.0,1.2836065573770492,2.8376393442622954,10.28367213114754
0.0,0.0,0.0,1.3306320907617504,2.760162074554295,10.186353322528364
0.0,0.0,0.0,1.3706624605678233,2.744794952681388,9.876656151419557
0.0,0.0,0.0,1.3664596273291925,2.725745341614907,9.677981366459628
0.0,0.0,0.0,1.3215434083601285,2.8324115755627015,10.064694533762058
0.0,0.0,0.0,1.3068181818181819,2.8125,10.164772727272727
0.0,0.0,0.0,1.334355828220859,2.7348159509202454,9.513650306748465
0.0,0.0,0.0,1.33,2.890433333333333,10.462900000000001
0.0,0.0,0.0,1.2645669291338584,2.76992125984252,9.815905511811025
0.0,0.0,0.0,1.3088,2.809664,10.019136
0.0,0.0,0.0,1.2929133858267716,2.723496062992126,9.824535433070865
0.0,0.0,0.0,1.288244766505636,2.7926892109500807,10.099420289855072
0.0,0.0,0.0,1.3164763458401305,2.8926590538336048,10.197063621533442
0.0,0.0,0.0,1.2930756843800322,2.81536231884058,10.02843800322061
0.0,0.0,0.0,1.3544303797468353,2.775411392405063,9.908132911392405
0.0,0.0,0.0,1.318407960199005,2.823150912106136,10.447164179104476
