infection_rate_mean,avg_infection_duration_mean,new_infections_mean,new_recoveries_mean,reward_agent_a,reward_agent_b
0.5319230769230769,0.0,3.0384615384615383,2.730769230769231,1828.9615384615388,-1528.9615384615388
0.29634615384615387,0.0,1.6346153846153846,1.4615384615384615,1088.5769230769233,-788.5769230769231
0.19849999999999998,0.0,1.0625,1.05,777.2489999999999,-484.19900000000007
0.0972,0.0,0.44,0.56,448.58659999999975,-159.42659999999995
0.025099999999999997,0.0,0.04,0.23,216.3743999999996,70.02560000000007
0.015300000000000003,0.0,0.0,0.35,176.09239999999969,96.18760000000006
0.0147,0.0,0.0,0.4,178.6465999999997,91.37340000000003
0.013300000000000001,0.0,0.0,0.41,175.1111999999997,94.36880000000006
0.0127,0.0,0.0,0.39,172.92439999999965,97.61560000000004
0.0129,0.0,0.0,0.32,169.9081999999997,99.25180000000007
0.010700000000000001,0.0,0.0,0.42,163.69099999999972,95.04900000000004
0.0101,0.0,0.0,0.48,158.71679999999975,94.54320000000006
0.0114,0.0,0.0,0.46,158.43299999999977,96.46700000000006
0.012900000000000002,0.0,0.0,0.39,163.2443999999997,98.87560000000005
0.016,0.0,0.0,0.29,172.9199999999997,100.84000000000009
0.0161,0.0,0.0,0.33,173.8021999999997,104.51780000000008
0.0146,0.0,0.0,0.35,171.08079999999973,102.1592000000001
0.011300000000000001,0.0,0.0,0.48,158.46599999999978,92.83400000000005
0.011099999999999999,0.0,0.0,0.46,155.44099999999978,89.45900000000009
0.0116,0.0,0.0,0.47,157.84559999999973,88.81440000000006
0.0143,0.0,0.0,0.4,170.90039999999976,88.93960000000003
0.0158,0.0,0.0,0.36,176.8095999999997,88.77040000000007
0.015700000000000002,0.0,0.0,0.36,178.54319999999967,85.69680000000005
0.0137,0.0,0.0,0.41,170.32179999999968,89.87820000000006
0.013099999999999999,0.0,0.0,0.41,167.90179999999975,87.03820000000007
0.011600000000000001,0.0,0.0,0.45,161.62519999999972,87.71480000000003
0.011600000000000001,0.0,0.0,0.42,164.35099999999974,91.14900000000006
0.0114,0.0,0.0,0.43,163.4181999999997,95.82180000000008
0.013600000000000001,0.0,0.0,0.34,170.80139999999972,104.35860000000008
0.0134,0.0,0.0,0.34,166.4497999999997,102.31020000000008
0.0125,0.0,0.0,0.37,164.55339999999975,93.9266000000001
0.0137,0.0,0.0,0.38,168.68719999999968,87.29280000000006
0.013399999999999999,0.0,0.0,0.39,169.80479999999972,87.25520000000004
0.013999999999999999,0.0,0.0,0.38,169.56719999999973,92.09280000000004
0.013600000000000001,0.0,0.0,0.35,170.27999999999972,94.74000000000005
0.013500000000000003,0.0,0.0,0.36,170.8563999999997,93.06360000000004
0.0159,0.0,0.0,0.34,182.0873999999997,86.19260000000004
0.0165,0.0,0.0,0.28,181.3459999999997,90.57400000000003
0.016700000000000003,0.0,0.0,0.31,182.0059999999997,90.47400000000005
0.0165,0.0,0.0,0.26,179.88299999999967,97.89700000000006
0.0158,0.0,0.0,0.26,175.1507999999997,98.04920000000006
0.0171,0.0,0.0,0.24,177.89199999999968,99.76800000000004
0.0175,0.0,0.0,0.25,175.63039999999964,98.56960000000007
0.017800000000000003,0.0,0.0,0.21,176.65119999999962,102.36880000000006
0.016200000000000003,0.0,0.0,0.24,175.48079999999965,102.53920000000008
0.0171,0.0,0.0,0.19,183.23139999999967,100.80860000000008
0.0184,0.0,0.0,0.15,186.2695999999997,101.15040000000006
0.0175,0.0,0.0,0.19,181.97299999999967,101.36700000000008
0.018600000000000002,0.0,0.0,0.21,185.8273999999997,100.45260000000007
0.0173,0.0,0.0,0.23,182.7209999999997,101.93900000000006
0.018600000000000002,0.0,0.0,0.2,188.73359999999968,102.00640000000007
0.019600000000000003,0.0,0.0,0.19,192.54839999999965,96.01160000000006
0.022199999999999994,0.0,0.0,0.19,201.89839999999964,87.20160000000006
0.0199,0.0,0.0,0.27,190.68719999999968,90.51280000000004
0.0195,0.0,0.0,0.25,186.96919999999963,93.65080000000007
0.0182,0.0,0.0,0.27,181.46479999999966,94.89520000000005
0.015799999999999998,0.0,0.0,0.28,175.45439999999965,97.30560000000003
0.0155,0.0,0.0,0.27,178.23739999999964,95.96260000000005
0.0143,0.0,0.0,0.3,172.18959999999967,96.37040000000006
0.013600000000000001,0.0,0.0,0.37,172.27319999999966,91.60680000000008
0.013699999999999999,0.0,0.0,0.36,168.84119999999973,94.17880000000007
0.0142,0.0,0.0,0.36,167.37379999999968,94.60620000000006
0.0159,0.0,0.0,0.3,174.87359999999973,95.48640000000006
0.017,0.0,0.0,0.22,181.01159999999967,96.68840000000006
0.0207,0.0,0.0,0.13,189.73459999999963,98.00540000000007
0.02099999999999999,0.0,0.0,0.12,190.07779999999963,98.68220000000008
0.0191,0.0,0.0,0.21,182.96739999999969,93.67260000000007
0.016200000000000003,0.0,0.0,0.28,176.04399999999964,93.07600000000006
0.014500000000000002,0.0,0.0,0.31,170.7991999999997,97.70080000000006
0.0136,0.0,0.0,0.32,168.57719999999972,102.26280000000008
0.013300000000000001,0.0,0.0,0.34,166.68519999999972,100.65480000000007
0.0148,0.0,0.0,0.29,166.6301999999997,105.66980000000007
0.0148,0.0,0.0,0.32,166.5245999999997,100.37540000000007
0.016,0.0,0.0,0.34,171.15999999999968,99.42000000000006
0.0149,0.0,0.0,0.37,170.14579999999972,94.97420000000007
0.0141,0.0,0.0,0.39,167.72799999999967,97.19200000000009
0.0173,0.0,0.0,0.22,175.80419999999967,103.43580000000007
0.0189,0.0,0.0,0.16,179.85439999999966,107.12560000000009
0.022199999999999998,0.0,0.0,0.12,187.86679999999967,104.8932000000001
0.0219,0.0,0.0,0.12,186.57099999999966,105.7690000000001
0.0194,0.0,0.0,0.17,182.10499999999965,104.09500000000007
0.0162,0.0,0.0,0.24,177.3595999999997,101.96040000000006
0.015200000000000002,0.0,0.0,0.32,177.68959999999967,97.03040000000006
0.0166,0.0,0.0,0.28,180.56499999999969,98.13500000000005
0.0165,0.0,0.0,0.27,176.90199999999965,98.13800000000006
0.013500000000000003,0.0,0.0,0.33,164.4433999999997,99.57660000000007
0.014199999999999999,0.0,0.0,0.31,165.0923999999997,97.76760000000006
0.016700000000000003,0.0,0.0,0.29,170.86299999999972,96.31700000000009
0.020499999999999997,0.0,0.0,0.25,179.26699999999968,92.63300000000005
0.023,0.0,0.0,0.19,190.28019999999964,90.35980000000006
0.023199999999999995,0.0,0.0,0.18,190.56839999999968,89.69160000000007
0.021599999999999998,0.0,0.0,0.16,190.85659999999964,93.56340000000007
0.02,0.0,0.0,0.13,187.62259999999958,98.55740000000006
0.0154,0.0,0.0,0.25,173.56679999999972,97.55320000000007
0.0143,0.0,0.0,0.29,170.80139999999966,100.45860000000008
0.0146,0.0,0.0,0.31,169.94339999999968,99.01660000000007
0.014500000000000002,0.0,0.0,0.33,165.09459999999973,101.28540000000007
0.014500000000000002,0.0,0.0,0.36,166.6257999999997,94.53420000000004
0.013000000000000003,0.0,0.0,0.36,166.77099999999973,95.46900000000007
0.013499999999999998,0.0,0.0,0.34,174.38299999999973,88.97700000000006
