infection_prob,recovery_prob,initial_density,final_infection_rate,avg_infection_rate,avg_steps,avg_agent_a_reward,avg_agent_b_reward
0.2,0.05,0.3,0.924,0.8801666666666665,121.0,2323.6399999999994,-2083.6400000000003
0.2,0.05,0.5,0.9339999999999999,0.9129166666666666,121.0,2410.0999999999995,-2170.0999999999995
0.2,0.05,0.7,0.968,0.936445238095238,84.8,1710.2359999999994,-1542.6359999999997
0.2,0.1,0.3,0.8240000000000001,0.7901166666666668,121.0,2085.9080000000004,-1845.9080000000008
0.2,0.1,0.5,0.808,0.7956666666666667,121.0,2100.56,-1860.5600000000006
0.2,0.1,0.7,0.776,0.7794833333333334,121.0,2057.8360000000002,-1817.8360000000005
0.2,0.15,0.3,0.5539999999999999,0.5216833333333334,121.0,1377.2440000000006,-1137.2440000000001
0.2,0.15,0.5,0.6040000000000001,0.5913833333333333,121.0,1561.252,-1321.2520000000002
0.2,0.15,0.7,0.658,0.6786666666666668,121.0,1791.6799999999998,-1551.6799999999998
0.2,0.3,0.3,0.03,0.09538665725687001,65.2,178.59599999999995,-50.19599999999999
0.2,0.3,0.5,0.0,0.08606022301897348,72.4,127.64399999999985,15.156000000000006
0.2,0.3,0.7,0.0,0.09595646359430827,76.8,170.14800000000005,-18.547999999999924
0.2,0.4,0.3,0.0,0.04783079909377597,40.4,44.87999999999998,33.92
0.2,0.4,0.5,0.0,0.07515179414771897,37.2,53.063999999999965,19.335999999999995
0.2,0.4,0.7,0.0,0.09794153732446413,29.2,59.31199999999999,-2.9120000000000053
0.2,0.5,0.3,0.0,0.07213703703703704,18.4,27.631999999999998,7.1679999999999975
0.2,0.5,0.5,0.0,0.06863492063492063,19.8,28.336000000000002,9.264
0.2,0.5,0.7,0.0,0.08157112847936376,22.0,37.092,4.907999999999998
0.3,0.05,0.3,0.9319999999999998,0.8950166666666666,121.0,2362.844,-2122.844
0.3,0.05,0.5,0.9359999999999999,0.9183333333333333,121.0,2424.399999999999,-2184.4
0.3,0.05,0.7,0.9520000000000002,0.9410925925925925,102.4,2091.8039999999996,-1889.0040000000001
0.3,0.1,0.3,0.8779999999999999,0.8424666666666667,121.0,2224.1120000000005,-1984.1119999999996
0.3,0.1,0.5,0.8559999999999999,0.8551,121.0,2257.463999999999,-2017.4639999999993
0.3,0.1,0.7,0.792,0.7933666666666668,121.0,2094.4880000000003,-1854.488
0.3,0.15,0.3,0.748,0.74145,121.0,1957.4279999999999,-1717.4279999999999
0.3,0.15,0.5,0.724,0.7391500000000001,121.0,1951.3560000000002,-1711.3559999999998
0.3,0.15,0.7,0.688,0.6979000000000001,121.0,1842.455999999999,-1602.455999999999
0.3,0.3,0.3,0.046,0.11997627542383912,83.2,269.896,-105.49599999999995
0.3,0.3,0.5,0.0,0.11196887677940304,76.6,213.61999999999998,-62.420000000000016
0.3,0.3,0.7,0.024,0.12541738344138217,75.6,224.53199999999998,-75.332
0.3,0.4,0.3,0.0,0.0706173166023166,31.0,50.775999999999996,9.223999999999993
0.3,0.4,0.5,0.0,0.08780431177446103,34.6,66.74799999999996,0.45199999999999535
0.3,0.4,0.7,0.0,0.10020142156862746,38.0,80.60799999999998,-6.608000000000002
0.3,0.5,0.3,0.0,0.08053473536267655,22.8,37.971999999999994,5.628
0.3,0.5,0.5,0.0,0.07986119677424026,23.0,37.31199999999998,6.688
0.3,0.5,0.7,0.0,0.1006885756519903,21.6,43.55999999999999,-2.3600000000000043
0.5,0.05,0.3,0.898,0.89125,121.0,2352.899999999999,-2112.8999999999987
0.5,0.05,0.5,0.9280000000000002,0.9192833333333332,121.0,2426.9079999999985,-2186.9079999999994
