infection_prob,recovery_prob,final_infection_rate,avg_infection_rate,avg_steps,avg_agent_a_reward,avg_agent_b_reward
0.4,0.2,0.144,0.2099727057812164,76.0,37.275999999999996,114.72400000000002
0.4,0.3,0.0,0.08125264330381454,32.4,1.6479999999999997,63.152
0.4,0.4,0.0,0.06459394487865075,20.1,-0.8679999999999998,41.06799999999999
0.6,0.2,0.378,0.40080808080808084,99.0,82.92000000000002,115.08000000000001
0.6,0.3,0.046,0.10751157439052175,40.7,10.272000000000002,71.12799999999999
0.6,0.4,0.0,0.08992196013882323,22.8,2.727999999999999,42.872
0.8,0.2,0.42799999999999994,0.41874170274170275,93.3,86.244,100.356
0.8,0.3,0.11000000000000001,0.15062958152958153,64.6,23.231999999999996,105.96799999999996
0.8,0.4,0.012,0.0805530481453118,36.0,4.459999999999999,67.53999999999999
